Kabupaten,Tahun,persentase_kemiskinan,rls,keluhan_kesehatan,tpt,kejahatan,puskesmas
Kota Blitar,2021,7.89,10.35,20.85,6.61,422,3
Kota Malang,2021,4.62,10.41,21.72,9.65,494,16
Kota Probolinggo,2021,7.44,8.95,21.66,6.55,287,6
Kota Pasuruan,2021,6.88,9.33,26.63,6.23,528,8
Kota Mojokerto,2021,6.39,10.47,26.45,6.87,417,6
Kota Madiun,2021,5.09,11.37,24.21,8.15,65,6
Kota Surabaya,2021,5.23,10.5,50.23,9.68,1648,63
Kota Batu,2021,4.09,9.31,13.56,6.57,147,5
Kabupaten Pacitan,2022,13.8,7.82,44.87,3.65,300,24
Kabupaten Ponorogo,2022,9.32,7.77,61.88,5.51,911,31
Kabupaten Trenggalek,2022,10.96,7.89,36.25,5.37,709,22
Kabupaten Tulungagung,2022,6.71,8.65,29.22,6.65,1787,32
Kabupaten Blitar,2022,8.71,7.82,56.84,5.45,2238,24
Kabupaten Kediri,2022,10.65,8.23,41.24,6.83,1710,37
Kabupaten Malang,2022,9.55,7.68,39.08,6.57,2010,39
Kabupaten Lumajang,2022,9.06,6.87,22.94,4.97,1378,25
Kabupaten Jember,2022,9.39,6.5,36.38,4.06,2773,50
Kabupaten Banyuwangi,2022,7.51,7.66,42.16,5.26,2545,45
Kabupaten Bondowoso,2022,13.47,6.22,46.61,4.32,947,25
Kabupaten Situbondo,2022,11.78,6.63,34.09,3.38,911,20
Kabupaten Probolinggo,2022,17.12,6.13,28.03,3.25,1057,33
Kabupaten Pasuruan,2022,8.96,7.42,27.99,5.91,1480,33
Kabupaten Sidoarjo,2022,5.36,10.77,21.92,8.8,3344,27
Kabupaten Mojokerto,2022,9.71,8.97,35.21,4.83,1315,27
Kabupaten Jombang,2022,9.04,8.76,46.54,5.47,2243,34
Kabupaten Nganjuk,2022,10.7,8.12,25.36,4.74,1404,20
Kabupaten Madiun,2022,10.79,7.94,39.44,5.84,1293,26
Kabupaten Magetan,2022,9.84,8.66,32.06,4.33,1304,22
Kabupaten Ngawi,2022,14.15,7.59,31.84,2.48,1292,24
Kabupaten Bojonegoro,2022,12.21,7.43,28.05,4.69,1314,35
Kabupaten Tuban,2022,15.02,7.37,38.3,4.54,1208,33
Kabupaten Lamongan,2022,12.53,8.33,24.0,6.05,1509,32
Kabupaten Gresik,2022,11.06,9.75,23.81,7.84,2184,32
Kabupaten Bangkalan,2022,19.44,5.97,12.82,8.05,976,22
Kabupaten Sampang,2022,21.61,5.06,44.28,3.11,725,22
Kabupaten Pamekasan,2022,13.93,6.88,31.21,1.4,1307,21
Kabupaten Sumenep,2022,18.76,5.93,15.89,1.36,759,30
Kota Kediri,2022,7.23,10.45,31.93,4.38,1047,9
Kota Blitar,2022,7.37,10.65,36.97,5.39,1217,3
Kota Malang,2022,4.37,10.69,13.62,7.66,1603,16
Kota Probolinggo,2022,6.65,9.29,43.81,4.57,886,6
Kota Pasuruan,2022,6.37,9.67,41.27,6.18,893,8
Kota Mojokerto,2022,5.98,10.8,32.08,5.05,1353,6
Kota Madiun,2022,4.76,11.67,22.33,6.39,1132,6
Kota Surabaya,2022,4.72,10.51,14.51,7.62,8759,63
Kota Batu,2022,3.79,9.63,35.88,8.43,413,5
